果てる,12
称する,12
取り扱う,12
逆らう,12
傷付く,12
適する,12
熱する,12
逃れる,12
脱する,12
引き起こす,12
薄れる,12
逃げ出す,12
浸ける,12
押し出す,12
ちぎる,12
振り回す,12
思い切る,12
巻き込む,12
引き締める,12
付け加える,12
儲ける,12
見当たる,12
投ずる,11
積み上げる,11
打ち上げる,11
駆け込む,11
組み立てる,11
散らす,11
苛める,11
荒れる,11
和らげる,11
固まる,11
目覚める,11
薄める,11
生き残る,11
物語る,11
ぶつける,11
擦れ違う,11
乱れる,11
切り開く,11
潰れる,11
踏み出す,11
見守る,11
立ち上げる,11
助かる,11
言い切る,11
踏み切る,11
先立つ,11
留める,11
請け負う,11
持ち上げる,10
引き摺る,10
見回す,10
仕留める,10
入り込む,10
飢える,10
交える,10
受け付ける,10
切り取る,10
微笑む,10
震える,10
捕らわれる,10
問い合わせる,10
ばれる,10
甘える,10
剥がす,10
指差す,10
聞かす,10
委ねる,10
銜える,10
張り付ける,10
染める,10
あしらう,10
押し込む,10
吹き出す,10
持ち帰る,10
見据える,10
引き取る,10
緩める,10
思い浮かべる,9
責める,9
気取る,9
配する,9
置き換える,9
決め込む,9
揺さぶる,9
取り囲む,9
立ち止まる,9
存ずる,9
書き替える,9
詰め込む,9
突き込む,9
弾ける,9
立ち寄る,9
思い立つ,9
暮れる,9
称える,9
飛び交う,9
感じ取る,9
遣り直す,9
費やす,9
押し寄せる,9
被せる,9
衰える,9
語り掛ける,9
連ねる,9
試みる,9
絡める,9
曲げる,9
帯びる,9
割り切る,9
凝らす,9
察する,9
引っ掛かる,9
切り離す,9
免れる,9
送り込む,9
徹する,9
躊躇う,9
籠もる,9
移り住む,8
溶かす,8
片付ける,8
根付く,8
送り出す,8
芽生える,8
託する,8
漏らす,8
堪える,8
差し込む,8
騙し取る,8
閉じ込める,8
触れ合う,8
退ける,8
仕立てる,8
醸し出す,8
漕ぎ着ける,8
捜し出す,8
鳴らす,8
評する,8
定まる,8
そそる,8
先駆ける,8
出向く,8
損なう,8
際立つ,8
引っ掛ける,8
論ずる,8
抱え込む,8
燃える,8
出迎える,8
受け持つ,8
焼ける,8
振り向く,8
取り替える,8
巻き上げる,8
揺らぐ,8
夢見る,8
妨げる,8
弱まる,7
枯れる,7
冷える,7
明ける,7
持ち合う,7
染み込む,7
立ち直る,7
伸び悩む,7
染まる,7
包み込む,7
鑑みる,7
準ずる,7
燃やす,7
打ち取る,7
知らす,7
長引く,7
突き付ける,7
組み込む,7
立ちはだかる,7
掘り出す,7
安らぐ,7
手放す,7
酔っ払う,7
連なる,7
惜しむ,7
描き出す,7
細める,7
秘める,7
建て替える,7
見せ付ける,7
歩き回る,7
引き付ける,7
流し送る,7
混ざる,7
差し上げる,7
嘗める,7
立ち入る,7
聞き取る,7
放り込む,7
切り上げる,7
立ち並ぶ,7
噛み締める,7
投げ込む,7
洒落る,7
積み重ねる,7
馳せる,7
叶える,7
注ぎ込む,7
顰める,7
割り込む,7
抱き締める,7
ごまかす,7
呆れる,7
途切れる,7
見落とす,7
投げ出す,7
売り込む,7
群がる,7
着替える,7
積み上がる,7
言い聞かせる,6
巡り会う,6
慰める,6
飲み込む,6
重んずる,6
住まう,6
駆け巡る,6
吊り上げる,6
差し伸べる,6
腰掛ける,6
剥がれる,6
打ち切る,6
深まる,6
立ち向かう,6
詰め替える,6
駆け出す,6
覗き込む,6
食い止める,6
読み上げる,6
介する,6
待ち受ける,6
掛け離れる,6
途絶える,6
待たす,6
撫でる,6
積み込む,6
顧みる,6
湧き出る,6
引き渡す,6
栄える,6
撥ねる,6
痺れる,6
駆け寄る,6
起き上がる,6
極める,6
逸れる,6
比する,6
